"Source:","/media/data/projects/sea-picro/hardware/0.2-rst/sea-picro.kicad_sch"
"Date:","Fri 15 Apr 2022 20:56:30"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","JLC Basic","LCSC","MPN ","Manufacturer"
"","","R13","51K","Device:R","Resistor_SMD:R_0402_1005Metric","~","Y","C25794","0402WGF5102TCE","UNI-ROYAL(Uniroyal Elec)"
"","","R14","51K","Device:R","Resistor_SMD:R_0402_1005Metric","~","Y","C25794","0402WGF5102TCE","UNI-ROYAL(Uniroyal Elec)"
"","","R15","1K","Device:R","Resistor_SMD:R_0402_1005Metric","~","Y","C11702","0402WGF1001TCE","UNI-ROYAL(Uniroyal Elec)"
"","","R16","2K2","Device:R","Resistor_SMD:R_0402_1005Metric","~","Y","C25879","0402WGF2201TCE","UNI-ROYAL(Uniroyal Elec)"
"","","R17","5K1","Device:R","Resistor_SMD:R_0402_1005Metric","~","Y","C25905","0402WGF5101TCE","UNI-ROYAL(Uniroyal Elec)"
"","","SW1","SWITCH","Switch:SW_Push","josh-buttons-switches:SW_Push_KMR2","~","N","C318893","TS-1185EC-C-D-B","XKB Connectivity"
"","","U1","ME6211C33M5G-N","Regulator_Linear:AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf","N","C82942","ME6211C33M5G-N","MICRONE(Nanjing Micro One Elec)"
"","","U2","GD25Q64CWIGR","josh-memory:W25Q128JVSIQ","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","N","C395511","GD25Q64CWIGR","GigaDevice Semicon Beijing "
"","","U3","RP2040","josh-ic:RP2040","josh-dfn-qfn:RP2040-QFN-56","","N","C2040","RP2040","Raspberry Pi "
"","","Y1","12MHz","Device:Crystal_GND24_Small","josh-oscillators:Crystal_SMD_2520-4Pin_2.5x2.0mm","~","N","C2149204","2TJ412000HYGBC","JYJE"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","JLC Basic","LCSC","MPN ","Manufacturer"
"1","5","C1, C2, C3, C5, C19","4u7","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C23733","CL05A475MP5NRNC","Samsung Electro-Mechanics"
"2","10","C4, C8, C10, C11, C13, C14, C15, C16, C17, C18","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics"
"3","2","C6, C7","15p","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1548","0402CG150J500NT","FH(Guangdong Fenghua Advanced Tech)"
"4","2","C9, C12","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C15849","CL10A105KB8NNNC","Samsung Electro-Mechanics"
"5","1","D1","B5817WS","Device:D_Schottky","Diode_SMD:D_SOD-323","~","N","C122854","B5817WS","Shikues"
"6","1","D2","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","Y","C72041","19-217/BHC-ZL1M2RY/3T","Everlight Elec"
"7","1","D3","WS2812C-2020","josh-led:WS2812C-2020","josh-led:WS2812C-2020","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","N","C965556","WS2812C-2020","Worldsemi "
"8","1","F1","500mA","Device:Polyfuse_Small","josh-passives-smt:Fuse_0603_1608Metric","~","N","C210357","MF-FSMF050X-2","BOURNS"
"9","1","J1","USB_C_Receptacle_USB2.0","josh-connector:USB_C_Receptacle_USB2.0_NO_SBU","josh-connectors:USB-C_MID_MOUNT_918-418K2024S40000","","N","C168688","918-418K2024S40000","Jing Extension of the Electronic Co"
"10","2","Q1, Q2","2N7002VC-7","Transistor_FET:FDG6335N","Package_TO_SOT_SMD:SOT-563","http://www.gneic.com/product/datasheet/FDG6335N-1122853.pdf","N","C504145","2N7002V","Changjiang Electronics Tech (CJ) "
"11","8","R1, R2, R4, R5, R6, R10, R12, R17","5K1","Device:R","Resistor_SMD:R_0402_1005Metric","~","Y","C25905","0402WGF5101TCE","UNI-ROYAL(Uniroyal Elec)"
"12","2","R3, R16","2K2","Device:R","Resistor_SMD:R_0402_1005Metric","~","Y","C25879","0402WGF2201TCE","UNI-ROYAL(Uniroyal Elec)"
"13","2","R7, R8","27R","Device:R","Resistor_SMD:R_0402_1005Metric","~","N","C25100","0402WGF270JTCE","UNI-ROYAL(Uniroyal Elec)"
"14","2","R9, R15","1K","Device:R","Resistor_SMD:R_0402_1005Metric","~","Y","C11702","0402WGF1001TCE","UNI-ROYAL(Uniroyal Elec)"
"15","3","R11, R13, R14","51K","Device:R","Resistor_SMD:R_0402_1005Metric","~","Y","C25794","0402WGF5102TCE","UNI-ROYAL(Uniroyal Elec)"
"16","1","SW1","SWITCH","Switch:SW_Push","josh-buttons-switches:SW_Push_KMR2","~","N","C318893","TS-1185EC-C-D-B","XKB Connectivity"
"17","1","U1","ME6211C33M5G-N","Regulator_Linear:AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf","N","C82942","ME6211C33M5G-N","MICRONE(Nanjing Micro One Elec)"
"18","1","U2","GD25Q64CWIGR","josh-memory:W25Q128JVSIQ","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf","N","C395511","GD25Q64CWIGR","GigaDevice Semicon Beijing "
"19","1","U3","RP2040","josh-ic:RP2040","josh-dfn-qfn:RP2040-QFN-56","","N","C2040","RP2040","Raspberry Pi "
"20","1","Y1","12MHz","Device:Crystal_GND24_Small","josh-oscillators:Crystal_SMD_2520-4Pin_2.5x2.0mm","~","N","C2149204","2TJ412000HYGBC","JYJE"
